year,broad_discipline,college_school,major_name,admit_gpa_range,admit_rate,enroll_gpa_range,yield_rate,admits,applicants,enrolls,enroll_25th_percentile,enroll_75th_percentile,admit_25th_percentile,admit_75th_percentile
2020,Interdisciplinary Studies,College Of Letters & science,Applied linguistics,3.56 - 3.82,0.545454545,3.53 - 3.74,0.416666667,24,44,10,3.53,3.74,3.56,3.82
2020,Interdisciplinary Studies,College Of Letters & science,Classical civilization,3.49 - 3.79,0.416666667,,0.6,5,12,3,,,3.49,3.79
2020,Interdisciplinary Studies,College Of Letters & science,Pre human biology and society,3.73 - 3.92,0.171428571,3.76 - 3.90,0.5,36,210,18,3.76,3.90,3.73,3.92
2020,Interdisciplinary Studies,College Of Letters & science,Pre-cognitive science,3.74 - 3.94,0.373786408,3.70 - 3.94,0.636363636,77,206,49,3.70,3.94,3.74,3.94
2020,Interdisciplinary Studies,College Of Letters & science,Pre-global studies,3.77 - 3.98,0.314285714,3.77 - 4.00,0.575757576,66,210,38,3.77,4.00,3.77,3.98
2020,Letters,College Of Letters & science,American literature & culture,3.48 - 3.73,0.453125,3.49 - 3.81,0.75862069,29,64,22,3.49,3.81,3.48,3.73
2020,Letters,College Of Letters & science,English,3.68 - 3.93,0.432653061,3.63 - 3.92,0.534591195,318,735,170,3.63,3.92,3.68,3.93
2020,Letters,College Of Letters & science,Philosophy,3.54 - 3.86,0.536723164,3.53 - 3.85,0.563157895,190,354,107,3.53,3.85,3.54,3.86
2020,Letters,College Of Letters & science,Pre-history,3.62 - 3.93,0.527075812,3.59 - 3.93,0.671232877,292,554,196,3.59,3.93,3.62,3.93
2020,Mathematics,College Of Letters & science,Pre-applied mathematics,3.78 - 3.98,0.423529412,3.77 - 3.98,0.601851852,108,255,65,3.77,3.98,3.78,3.98
2020,Mathematics,College Of Letters & science,Pre-data theory,3.70 - 4.00,0.543859649,3.64 - 3.94,0.532258065,62,114,33,3.64,3.94,3.70,4.00
2020,Mathematics,College Of Letters & science,Pre-financial actuarial mathematics,3.87 - 4.00,0.371428571,3.86 - 4.00,0.634615385,52,140,33,3.86,4.00,3.87,4.00
2020,Mathematics,College Of Letters & science,Pre-mathematics,3.81 - 4.00,0.358156028,3.77 - 3.97,0.524752475,101,282,53,3.77,3.97,3.81,4.00
2020,Mathematics,College Of Letters & science,Pre-mathematics for teaching,3.64 - 3.87,0.333333333,3.65 - 3.80,0.529411765,17,51,9,3.65,3.80,3.64,3.87
2020,Mathematics,College Of Letters & science,Pre-mathematics of computation,3.79 - 3.95,0.447916667,3.76 - 3.91,0.558139535,43,96,24,3.76,3.91,3.79,3.95
2020,Mathematics,College Of Letters & science,Pre-mathematics/applied science,3.51 - 3.85,0.409090909,,0.444444444,9,22,4,,,3.51,3.85
2020,Mathematics,College Of Letters & science,Pre-mathematics/economics,3.85 - 3.98,0.363095238,3.84 - 3.97,0.754098361,61,168,46,3.84,3.97,3.85,3.98
2020,Mathematics,College Of Letters & science,Pre-statistics,3.89 - 4.00,0.352348993,3.85 - 4.00,0.552380952,105,298,58,3.85,4.00,3.89,4.00
2020,Nursing,School Of Nursing,Nursing - four year program,3.64 - 3.85,0.050209205,3.62 - 3.82,0.833333333,12,239,10,3.62,3.82,3.64,3.85
2020,Physical Sciences,College Of Letters & science,Astrophysics,3.81 - 3.95,0.23880597,3.83 - 3.88,0.4375,16,67,7,3.83,3.88,3.81,3.95
2020,Physical Sciences,College Of Letters & science,Chemistry,3.72 - 3.95,0.290102389,3.70 - 3.91,0.470588235,85,293,40,3.70,3.91,3.72,3.95
2020,Physical Sciences,College Of Letters & science,Earth and environmental science,3.73 - 3.95,0.27027027,,0.4,10,37,4,,,3.73,3.95
2020,Physical Sciences,College Of Letters & science,Geology,3.71 - 3.80,0.263157895,,0.6,5,19,3,,,3.71,3.80
2020,Physical Sciences,College Of Letters & science,Physics,3.77 - 3.95,0.323529412,3.66 - 3.94,0.454545455,66,204,30,3.66,3.94,3.77,3.95
